Id,age,education,income_from_investment_sources,losses_from_investment_sources,marital_status,native_country,number_of_years_of_education,occupation,race,relationship,sex,work_class,working_hours_per_week,earn_over_4k_euros_per_year
4765,,4.0,0.0,0.0,65.0,98.0,2.5465,85.0,101.0,73.0,37.0,80.0,,0
10025,9.5493,90.0,4782.3,,61.0,98.0,3.1831,34.0,101.0,49.0,59.0,80.0,19.099,1
10126,14.961,63.0,,0.0,,98.0,4.4563,,101.0,49.0,59.0,,,1
100,11.777,20.0,0.0,,61.0,98.0,4.138,85.0,,,59.0,80.0,15.915,0
3371,,90.0,0.0,0.0,28.0,98.0,,14.0,101.0,,,36.0,,0
10180,12.414,20.0,0.0,0.0,61.0,98.0,4.138,34.0,101.0,49.0,59.0,87.0,19.099,1
9423,,63.0,0.0,0.0,61.0,98.0,4.4563,,,49.0,59.0,80.0,12.096,1
7627,8.5944,20.0,0.0,0.0,,98.0,4.138,83.0,21.0,,,92.0,15.279,0
7710,9.8676,,0.0,,61.0,50.0,4.138,,17.0,49.0,,80.0,19.099,0
4703,,3.0,0.0,,,,2.2282,26.0,101.0,49.0,59.0,80.0,12.732,0
6366,10.823,,,0.0,,,2.8648,82.0,101.0,49.0,,80.0,12.732,0
532,21.008,7.0,,0.0,,98.0,1.2732,,101.0,,59.0,,,0
5399,,20.0,0.0,0.0,61.0,39.0,4.138,34.0,101.0,103.0,37.0,80.0,19.099,0
7966,7.3211,4.0,,,65.0,98.0,,71.0,21.0,99.0,59.0,80.0,12.096,0
356,7.6394,20.0,0.0,,65.0,98.0,4.138,94.0,101.0,68.0,37.0,80.0,6.3662,0
3014,11.777,,0.0,518.21,,98.0,2.8648,26.0,101.0,49.0,59.0,80.0,12.732,0
3293,,90.0,0.0,0.0,62.0,98.0,3.1831,14.0,101.0,73.0,,80.0,12.732,0
101,14.642,18.0,0.0,,28.0,98.0,,94.0,,68.0,,80.0,11.459,0
5557,6.6845,42.0,,0.0,65.0,98.0,2.8648,26.0,101.0,68.0,59.0,80.0,11.141,0
3419,14.642,,0.0,0.0,28.0,,3.1831,,,99.0,,80.0,3.1831,0
3561,8.5944,,0.0,0.0,,,1.2732,71.0,101.0,70.0,59.0,80.0,11.141,0
8237,15.915,42.0,987.72,0.0,61.0,98.0,2.8648,58.0,,49.0,59.0,80.0,,1
10496,,42.0,0.0,0.0,61.0,98.0,,,101.0,49.0,59.0,80.0,14.324,1
6471,12.096,5.0,0.0,,61.0,64.0,,44.0,,49.0,59.0,80.0,12.732,0
1277,17.189,63.0,0.0,,61.0,98.0,4.4563,82.0,101.0,49.0,59.0,80.0,19.099,0
8585,16.234,90.0,0.0,600.65,,98.0,3.1831,34.0,101.0,49.0,59.0,80.0,20.69,1
10349,,63.0,,,61.0,,,82.0,,49.0,59.0,80.0,12.732,1
5014,12.414,63.0,0.0,0.0,65.0,98.0,4.4563,34.0,,,37.0,80.0,14.324,0
4806,,,,0.0,61.0,,3.1831,94.0,,103.0,37.0,80.0,12.732,0
7868,20.372,42.0,,0.0,61.0,98.0,2.8648,14.0,101.0,,59.0,36.0,12.732,0
642,,,,0.0,65.0,98.0,4.138,,101.0,73.0,59.0,87.0,12.732,0
2530,11.459,90.0,0.0,,61.0,98.0,3.1831,34.0,101.0,,,80.0,12.732,0
223,9.231,20.0,0.0,0.0,65.0,98.0,4.138,83.0,,68.0,59.0,57.0,,0
8984,,42.0,0.0,0.0,28.0,,2.8648,26.0,101.0,70.0,59.0,80.0,17.507,1
3297,9.231,42.0,0.0,0.0,65.0,98.0,2.8648,34.0,21.0,99.0,37.0,80.0,12.732,0
2074,7.6394,42.0,0.0,0.0,,,2.8648,14.0,,68.0,37.0,36.0,12.732,0
4986,14.324,42.0,0.0,,65.0,,2.8648,44.0,101.0,,59.0,80.0,,0
4205,18.144,2.0,,,89.0,98.0,,,101.0,68.0,59.0,,9.5493,0
4704,12.732,,0.0,,61.0,98.0,3.1831,71.0,101.0,49.0,59.0,80.0,,0
10462,,20.0,31831.0,0.0,61.0,98.0,,85.0,,49.0,59.0,,19.099,1
1381,,20.0,0.0,0.0,61.0,75.0,4.138,14.0,17.0,,,80.0,12.732,0
9503,12.732,63.0,0.0,0.0,61.0,98.0,,34.0,101.0,49.0,59.0,80.0,,1
2794,,,1405.7,0.0,65.0,98.0,2.8648,,101.0,68.0,59.0,80.0,,0
2705,10.186,20.0,0.0,0.0,,98.0,4.138,,101.0,,59.0,80.0,,0
1204,8.2761,20.0,0.0,0.0,61.0,98.0,4.138,82.0,101.0,,,57.0,12.732,0
6501,15.597,20.0,0.0,0.0,62.0,75.0,4.138,71.0,17.0,68.0,59.0,80.0,12.732,0
930,13.369,90.0,0.0,0.0,61.0,98.0,3.1831,14.0,101.0,49.0,,88.0,19.099,0
6744,17.825,2.0,,0.0,28.0,98.0,,,101.0,68.0,,80.0,14.324,0
630,5.4113,,0.0,0.0,65.0,98.0,1.9099,35.0,101.0,73.0,59.0,80.0,6.3662,0
2905,19.099,,0.0,0.0,61.0,98.0,2.8648,,101.0,49.0,59.0,80.0,12.732,0
1348,8.9127,18.0,,0.0,61.0,,3.8197,44.0,21.0,49.0,59.0,80.0,12.732,0
5854,21.963,42.0,0.0,,61.0,98.0,,83.0,101.0,49.0,59.0,92.0,,0
1328,7.6394,42.0,0.0,0.0,65.0,98.0,2.8648,,21.0,70.0,59.0,80.0,12.732,0
9467,9.231,42.0,,0.0,61.0,98.0,,82.0,101.0,49.0,59.0,80.0,12.732,1
4541,12.096,,0.0,0.0,61.0,98.0,2.8648,,101.0,49.0,59.0,80.0,12.732,0
6948,6.0479,2.0,0.0,0.0,65.0,98.0,,,,99.0,37.0,,11.141,0
5202,11.459,90.0,0.0,0.0,65.0,56.0,3.1831,26.0,17.0,68.0,,80.0,,0
1555,,,0.0,,28.0,98.0,3.1831,,101.0,68.0,37.0,80.0,12.732,0
10022,13.687,19.0,0.0,,,98.0,3.5014,14.0,101.0,103.0,37.0,80.0,12.732,1
3089,6.0479,,0.0,0.0,65.0,98.0,2.2282,,101.0,73.0,37.0,,,0
6198,6.0479,42.0,0.0,0.0,,,,44.0,101.0,73.0,59.0,80.0,5.093,0
5347,17.825,3.0,0.0,0.0,28.0,98.0,2.2282,85.0,,68.0,37.0,80.0,12.732,0
4653,,90.0,0.0,0.0,61.0,,,26.0,101.0,49.0,,80.0,12.732,0
8334,16.552,42.0,31831.0,,61.0,55.0,2.8648,34.0,17.0,49.0,59.0,,12.732,1
8800,,20.0,0.0,,61.0,98.0,4.138,85.0,101.0,49.0,59.0,80.0,15.915,1
6388,,,0.0,0.0,65.0,98.0,2.8648,85.0,101.0,,37.0,80.0,10.504,0
1590,19.417,29.0,0.0,0.0,,,5.093,,101.0,68.0,37.0,,,0
7384,,8.0,0.0,0.0,61.0,,1.5915,96.0,,49.0,59.0,80.0,,0
7668,12.414,20.0,0.0,0.0,,98.0,4.138,,101.0,49.0,,92.0,12.732,0
6563,15.597,42.0,0.0,0.0,61.0,,2.8648,26.0,101.0,49.0,59.0,,12.732,0
8748,12.414,18.0,,0.0,61.0,98.0,3.8197,34.0,101.0,49.0,59.0,87.0,17.507,1
39,7.9577,90.0,0.0,0.0,61.0,98.0,3.1831,14.0,69.0,103.0,37.0,80.0,12.732,0
9594,,7.0,0.0,0.0,62.0,53.0,1.2732,14.0,101.0,68.0,59.0,88.0,6.3662,1
4338,7.3211,,0.0,0.0,61.0,98.0,2.8648,26.0,101.0,,59.0,80.0,12.732,0
1795,6.3662,,0.0,,65.0,98.0,2.8648,44.0,101.0,68.0,,,14.324,0
2933,9.231,42.0,0.0,0.0,65.0,98.0,2.8648,71.0,,73.0,,57.0,6.3662,0
9620,14.961,42.0,0.0,0.0,,98.0,,34.0,101.0,103.0,37.0,80.0,,1
3094,9.8676,42.0,0.0,0.0,61.0,98.0,2.8648,34.0,101.0,49.0,59.0,80.0,,0
3747,13.051,20.0,0.0,0.0,102.0,,,34.0,101.0,99.0,59.0,80.0,,0
10198,14.961,42.0,0.0,0.0,,98.0,2.8648,,,49.0,59.0,36.0,12.732,1
24,9.5493,,,0.0,61.0,98.0,,,101.0,73.0,59.0,36.0,12.732,0
10261,,20.0,,0.0,61.0,98.0,4.138,,101.0,,59.0,80.0,12.732,1
9280,,90.0,0.0,,61.0,98.0,3.1831,85.0,101.0,49.0,59.0,80.0,12.732,1
9692,19.417,90.0,0.0,,61.0,98.0,3.1831,85.0,21.0,49.0,,88.0,19.099,1
6264,8.2761,20.0,1548.6,0.0,,98.0,4.138,,101.0,68.0,,,11.141,0
6384,11.141,20.0,947.61,,65.0,98.0,4.138,34.0,17.0,68.0,37.0,92.0,14.324,0
10456,9.8676,,0.0,,61.0,98.0,3.5014,35.0,101.0,49.0,59.0,88.0,19.099,1
5712,9.231,,,0.0,,,4.138,82.0,,68.0,59.0,36.0,15.279,0
7870,7.6394,20.0,0.0,,65.0,98.0,4.138,14.0,101.0,68.0,59.0,,12.732,0
2907,7.0028,90.0,,0.0,65.0,,,14.0,,,59.0,80.0,12.732,0
4679,,90.0,0.0,0.0,65.0,98.0,3.1831,14.0,101.0,,,80.0,12.732,0
4547,14.006,2.0,0.0,0.0,28.0,,1.9099,14.0,69.0,99.0,,,13.369,0
6986,7.6394,20.0,0.0,0.0,65.0,98.0,4.138,82.0,,68.0,59.0,80.0,,0
7232,,2.0,0.0,0.0,89.0,41.0,,,101.0,99.0,37.0,80.0,12.732,0
3566,5.7296,42.0,0.0,0.0,65.0,98.0,,85.0,101.0,,,80.0,4.7746,0
5300,7.9577,18.0,,0.0,65.0,98.0,3.8197,94.0,,,37.0,80.0,14.324,0
7702,13.369,20.0,0.0,0.0,,98.0,4.138,82.0,101.0,49.0,59.0,,6.6845,0
5236,,,0.0,0.0,61.0,64.0,3.5014,26.0,101.0,49.0,59.0,80.0,12.732,0
9328,9.231,42.0,0.0,0.0,61.0,98.0,2.8648,82.0,,,,,12.732,1
431,22.918,3.0,0.0,0.0,102.0,98.0,2.2282,14.0,101.0,,37.0,80.0,12.732,0
2124,7.0028,,0.0,0.0,65.0,98.0,,58.0,,73.0,59.0,80.0,,0
8313,15.915,42.0,,0.0,61.0,98.0,2.8648,14.0,101.0,103.0,37.0,80.0,12.732,1
10390,11.459,18.0,0.0,0.0,61.0,98.0,3.8197,94.0,101.0,49.0,59.0,80.0,12.732,1
7541,6.6845,19.0,0.0,0.0,65.0,98.0,3.5014,,,99.0,59.0,,12.732,0
2381,6.6845,42.0,0.0,0.0,,98.0,2.8648,26.0,,73.0,59.0,,12.732,0
2335,19.099,8.0,0.0,532.21,61.0,98.0,,35.0,101.0,49.0,59.0,88.0,26.738,0
1429,9.231,90.0,0.0,506.11,65.0,,3.1831,71.0,69.0,68.0,59.0,80.0,12.732,0
2816,9.231,42.0,0.0,0.0,28.0,,,,69.0,,37.0,80.0,9.5493,0
6655,9.8676,90.0,0.0,,61.0,84.0,3.1831,71.0,69.0,,59.0,80.0,12.732,0
5698,11.141,90.0,1305.4,0.0,89.0,98.0,3.1831,35.0,101.0,,59.0,80.0,19.099,0
2098,10.823,42.0,2180.1,0.0,28.0,98.0,2.8648,26.0,,,59.0,80.0,17.507,0
16,13.687,3.0,0.0,649.99,61.0,,,96.0,101.0,49.0,59.0,80.0,12.732,0
3882,7.0028,90.0,0.0,0.0,65.0,98.0,3.1831,85.0,21.0,,37.0,80.0,12.732,0
4078,8.2761,20.0,0.0,0.0,,98.0,4.138,14.0,101.0,68.0,,,,0
6638,,19.0,0.0,,61.0,98.0,3.5014,82.0,101.0,,,80.0,6.3662,0
410,14.006,63.0,,0.0,,98.0,4.4563,82.0,101.0,49.0,59.0,88.0,12.732,0
3770,14.961,20.0,0.0,0.0,61.0,98.0,4.138,82.0,101.0,49.0,59.0,57.0,,0
1292,12.096,42.0,0.0,,61.0,,2.8648,96.0,101.0,49.0,59.0,80.0,14.324,0
1906,12.096,90.0,0.0,0.0,28.0,98.0,3.1831,14.0,101.0,99.0,37.0,80.0,12.732,0
10199,,42.0,0.0,0.0,61.0,,2.8648,71.0,101.0,103.0,,80.0,12.732,1
2711,7.3211,90.0,0.0,0.0,,54.0,,58.0,,73.0,37.0,80.0,,0
8588,9.231,,0.0,0.0,61.0,98.0,,85.0,101.0,49.0,59.0,80.0,12.732,1
6985,6.6845,90.0,0.0,0.0,65.0,98.0,3.1831,14.0,101.0,99.0,,80.0,12.732,0
3686,15.279,42.0,0.0,0.0,65.0,30.0,2.8648,58.0,101.0,70.0,59.0,80.0,12.732,0
5864,,42.0,0.0,0.0,65.0,98.0,,14.0,101.0,68.0,37.0,80.0,12.732,0
6067,7.3211,2.0,0.0,,61.0,,1.9099,,,49.0,59.0,,12.732,0
9649,14.324,20.0,0.0,0.0,61.0,98.0,4.138,85.0,101.0,103.0,37.0,80.0,13.369,1
1520,7.6394,18.0,0.0,0.0,61.0,98.0,3.8197,71.0,,,37.0,57.0,12.732,0
7848,8.5944,42.0,0.0,507.39,,98.0,,26.0,101.0,99.0,37.0,,8.2761,0
7534,,90.0,0.0,0.0,61.0,98.0,3.1831,85.0,101.0,49.0,59.0,80.0,,0
1694,,42.0,0.0,0.0,65.0,98.0,2.8648,96.0,101.0,73.0,59.0,80.0,12.732,0
7571,,90.0,0.0,0.0,65.0,98.0,3.1831,14.0,101.0,99.0,37.0,80.0,,0
9281,18.144,90.0,0.0,605.43,61.0,98.0,,85.0,101.0,49.0,59.0,80.0,12.732,1
7109,5.7296,42.0,0.0,0.0,65.0,98.0,2.8648,,101.0,73.0,37.0,,,0
3441,6.3662,42.0,,0.0,,98.0,2.8648,,101.0,73.0,37.0,80.0,12.732,0
4583,14.324,,0.0,0.0,28.0,98.0,2.8648,,101.0,68.0,,87.0,13.369,0
4947,,42.0,,0.0,61.0,98.0,2.8648,96.0,,49.0,59.0,80.0,12.732,0
1864,,90.0,0.0,0.0,61.0,98.0,3.1831,14.0,101.0,49.0,59.0,80.0,,0
1724,6.6845,19.0,0.0,0.0,65.0,98.0,3.5014,,101.0,73.0,59.0,80.0,,0
9155,21.008,90.0,2513.4,0.0,28.0,,3.1831,71.0,,70.0,37.0,80.0,12.732,1
522,5.4113,3.0,0.0,,65.0,,2.2282,35.0,,73.0,59.0,,3.1831,0
8353,16.234,90.0,0.0,0.0,61.0,98.0,3.1831,34.0,101.0,49.0,59.0,80.0,14.324,1
4136,10.186,,0.0,0.0,,98.0,,,101.0,103.0,37.0,,14.324,0
8760,15.279,,0.0,0.0,61.0,98.0,4.138,34.0,101.0,49.0,59.0,,12.732,1
5524,9.231,2.0,0.0,0.0,89.0,98.0,,85.0,101.0,99.0,37.0,80.0,12.732,0
7762,11.777,,,,89.0,98.0,2.5465,79.0,,,37.0,80.0,12.732,0
9927,16.552,42.0,,,,98.0,,,101.0,49.0,59.0,,12.732,1
1041,13.687,,0.0,0.0,65.0,98.0,3.5014,14.0,101.0,68.0,37.0,57.0,11.141,0
8114,10.823,90.0,0.0,0.0,61.0,98.0,3.1831,82.0,,49.0,59.0,80.0,15.915,1
5756,13.369,19.0,,0.0,61.0,98.0,,,101.0,,,88.0,,0
9030,,42.0,0.0,0.0,61.0,98.0,2.8648,26.0,,49.0,59.0,80.0,23.873,1
1925,18.462,29.0,1293.6,0.0,61.0,50.0,5.093,82.0,,49.0,59.0,92.0,12.732,0
