Id,age,education,income_from_investment_sources,losses_from_investment_sources,marital_status,native_country,number_of_years_of_education,occupation,race,relationship,sex,work_class,working_hours_per_week,earn_over_4k_euros_per_year
1,12.414,20.0,692.01,-13.1660636608,65.0,98.0,4.1123450787,14.0,101.0,68.0,59.0,92.0,13.5835744113,0
2,18.5432311987,42.0,0.0,0.0,61.0,98.0,2.87586829402,85.0,101.0,49.0,59.0,88.0,4.138,0
3,12.096,42.0,0.0,0.0,28.0,98.0,2.86223702355,44.0,101.0,68.0,59.0,80.0,12.732,0
4,12.494540254,3.0,69.5075323646,0.0,61.0,98.0,2.21393033643,44.0,101.0,49.0,59.0,80.0,12.732,0
5,8.9127,20.0,468.45766996,0.0,61.0,27.0,4.138,82.0,21.0,103.0,37.0,80.0,12.732,0
6,11.777,63.0,0.0,0.0,61.0,98.0,4.4563,82.0,101.0,103.0,37.0,57.0,12.732,0
7,15.597,8.0,0.0,0.0,65.0,54.0,1.5915,71.0,21.0,68.0,37.0,80.0,11.1232121252,0
8,7.3211,20.0,0.0,0.0,65.0,98.0,4.138,14.0,101.0,73.0,37.0,80.0,9.5493,0
9,10.186,18.0,0.0,0.0,65.0,98.0,3.8197,34.0,21.0,68.0,59.0,80.0,15.915,0
10,10.823,7.0,0.0,0.0,61.0,64.0,1.2732,58.0,15.0,49.0,59.0,80.0,14.324,0
11,7.9577,42.0,0.0,0.0,65.0,98.0,2.8648,26.0,101.0,73.0,59.0,88.0,11.141,0
12,10.186,42.0,0.0,0.0,65.0,98.0,2.86223702355,58.0,21.0,99.0,37.0,80.0,12.732,0
13,12.096,3.0,0.0,0.0,61.0,98.0,2.2282,26.0,101.0,49.0,59.0,80.0,15.915,0
14,17.189,42.0,112.8294643,0.0,89.0,98.0,2.8648,71.0,21.0,99.0,37.0,80.0,6.3662,0
15,11.141,8.0,0.0,0.0,61.0,98.0,1.5915,35.0,101.0,49.0,59.0,36.0,12.732,0
16,13.687,3.0,0.0,649.99,61.0,98.0,2.23173777527,96.0,101.0,49.0,59.0,80.0,12.732,0
17,18.78,42.0,0.0,0.0,28.0,98.0,2.8648,94.0,101.0,99.0,37.0,80.0,12.732,0
18,8.07406676707,42.0,0.0,0.0,65.0,98.0,2.86535935246,26.0,101.0,73.0,59.0,80.0,12.732,0
19,13.6527414652,42.0,0.0,0.0,28.0,98.0,2.88505392363,34.0,101.0,68.0,59.0,80.0,25.465,0
20,12.9742453165,42.0,0.0,21.9556594239,61.0,98.0,2.8648,26.0,101.0,49.0,59.0,80.0,12.732,0
21,7.3211,18.0,0.0,29.8270457019,65.0,98.0,3.8197,83.0,101.0,68.0,59.0,57.0,16.552,0
22,7.71231699368,90.0,-122.969945371,468.847428233,65.0,98.0,3.1831,85.0,21.0,73.0,59.0,80.0,14.006,0
23,14.324,20.0,0.0,448.18,28.0,98.0,4.13086901971,34.0,101.0,73.0,37.0,80.0,12.732,0
24,9.5493,42.0,-34.1816941402,0.0,61.0,98.0,3.02449493354,82.0,101.0,73.0,59.0,36.0,12.732,0
25,7.0028,90.0,0.0,0.0,61.0,98.0,3.1831,71.0,101.0,49.0,59.0,80.0,4.7746,0
26,15.279,3.0,0.0,0.0,65.0,84.0,2.2282,58.0,101.0,99.0,59.0,80.0,12.6555068708,0
27,7.73194455061,90.0,0.0,0.0,65.0,98.0,3.1831,58.0,101.0,73.0,59.0,80.0,12.732,0
28,6.0479,42.0,0.0,24.1870588073,60.0,98.0,2.8648,14.0,101.0,103.0,37.0,80.0,7.9577,0
29,15.279,18.0,0.0,0.0,61.0,98.0,3.8197,82.0,101.0,49.0,59.0,88.0,12.732,0
30,13.2455519688,8.0,0.0,18.0137518149,61.0,98.0,1.5915,58.0,101.0,49.0,59.0,80.0,13.687,0
31,16.87,20.0,0.0,0.0,61.0,98.0,4.138,82.0,101.0,49.0,59.0,88.0,12.732,0
32,7.6394,20.0,0.0,0.0,61.0,98.0,4.138,94.0,101.0,49.0,59.0,80.0,15.915,0
33,15.597,42.0,260.555712947,0.0,89.0,98.0,2.8648,14.0,101.0,99.0,37.0,80.0,12.732,0
34,7.9577,42.0,0.0,0.0,65.0,98.0,2.8648,44.0,101.0,68.0,59.0,80.0,13.4075154274,0
35,14.4080008767,42.0,0.0,32.5429738735,61.0,98.0,2.8648,58.0,101.0,49.0,59.0,80.0,12.096,0
36,14.006,63.0,0.0,0.0,28.0,98.0,4.4563,34.0,101.0,99.0,37.0,80.0,12.732,0
37,13.051,19.0,0.0,0.0,61.0,98.0,3.53066601002,26.0,101.0,49.0,59.0,80.0,12.732,0
38,9.231,19.0,0.0,0.0,65.0,98.0,3.5014,82.0,101.0,68.0,59.0,80.0,13.687,0
39,7.9577,90.0,0.0,0.0,61.0,98.0,3.1831,14.0,69.0,103.0,37.0,80.0,12.732,0
