[mean: 0.84857, std: 0.00297, params: {'subsample': 0.5, 'colsample_bytree': 0.5},
mean: 0.85286, std: 0.00731, params: {'subsample': 0.6, 'colsample_bytree': 0.5},
mean: 0.85262, std: 0.00332, params: {'subsample': 0.7, 'colsample_bytree': 0.5},
mean: 0.85298, std: 0.00497, params: {'subsample': 0.8, 'colsample_bytree': 0.5},
mean: 0.85476, std: 0.00470, params: {'subsample': 0.9, 'colsample_bytree': 0.5},
mean: 0.85274, std: 0.00556, params: {'subsample': 1.0, 'colsample_bytree': 0.5},
 mean: 0.85107, std: 0.00641, params: {'subsample': 0.5, 'colsample_bytree': 0.6},
 mean: 0.85155, std: 0.00506, params: {'subsample': 0.6, 'colsample_bytree': 0.6},
 mean: 0.85000, std: 0.00672, params: {'subsample': 0.7, 'colsample_bytree': 0.6},
 mean: 0.85250, std: 0.00398, params: {'subsample': 0.8, 'colsample_bytree': 0.6},
 mean: 0.85226, std: 0.00582, params: {'subsample': 0.9, 'colsample_bytree': 0.6}, 
 mean: 0.85560, std: 0.00656, params: {'subsample': 1.0, 'colsample_bytree': 0.6}, 
  mean: 0.84881, std: 0.00884, params: {'subsample': 0.5, 'colsample_bytree': 0.7}, 
  mean: 0.84869, std: 0.00911, params: {'subsample': 0.6, 'colsample_bytree': 0.7}, 
  mean: 0.85357, std: 0.00401, params: {'subsample': 0.7, 'colsample_bytree': 0.7}, 
  mean: 0.85202, std: 0.00661, params: {'subsample': 0.8, 'colsample_bytree': 0.7}, 
  mean: 0.85262, std: 0.00460, params: {'subsample': 0.9, 'colsample_bytree': 0.7}, 
  mean: 0.85559, std: 0.00476, params: {'subsample': 1.0, 'colsample_bytree': 0.7}, 
   mean: 0.84905, std: 0.00792, params: {'subsample': 0.5, 'colsample_bytree': 0.8}, 
   mean: 0.84976, std: 0.00525, params: {'subsample': 0.6, 'colsample_bytree': 0.8}, 
   mean: 0.85191, std: 0.00594, params: {'subsample': 0.7, 'colsample_bytree': 0.8}, 
   mean: 0.85155, std: 0.00380, params: {'subsample': 0.8, 'colsample_bytree': 0.8}, 
   mean: 0.85417, std: 0.00540, params: {'subsample': 0.9, 'colsample_bytree': 0.8}, 
   mean: 0.85417, std: 0.00435, params: {'subsample': 1.0, 'colsample_bytree': 0.8}, 
    mean: 0.84988, std: 0.00378, params: {'subsample': 0.5, 'colsample_bytree': 0.9}, 
    mean: 0.84571, std: 0.00551, params: {'subsample': 0.6, 'colsample_bytree': 0.9}, 
    mean: 0.85321, std: 0.00387, params: {'subsample': 0.7, 'colsample_bytree': 0.9}, 
    mean: 0.85309, std: 0.00552, params: {'subsample': 0.8, 'colsample_bytree': 0.9}, 
    mean: 0.85262, std: 0.00604, params: {'subsample': 0.9, 'colsample_bytree': 0.9}, 
    mean: 0.85631, std: 0.00593, params: {'subsample': 1.0, 'colsample_bytree': 0.9}, 
     mean: 0.84560, std: 0.00516, params: {'subsample': 0.5, 'colsample_bytree': 1.0}, 
     mean: 0.84905, std: 0.00516, params: {'subsample': 0.6, 'colsample_bytree': 1.0}, 
     mean: 0.84917, std: 0.00637, params: {'subsample': 0.7, 'colsample_bytree': 1.0}, 
     mean: 0.84976, std: 0.00581, params: {'subsample': 0.8, 'colsample_bytree': 1.0}, 
     mean: 0.85345, std: 0.00428, params: {'subsample': 0.9, 'colsample_bytree': 1.0}, 
     mean: 0.85238, std: 0.00352, params: {'subsample': 1.0, 'colsample_bytree': 1.0}] {'subsample': 1.0, 'colsample_bytree': 0.9} 0.856309787263

[mean: 0.85226, std: 0.00721, params: {'subsample': 0.6, 'colsample_bytree': 0.6}, 
mean: 0.85119, std: 0.00789, params: {'subsample': 0.65, 'colsample_bytree': 0.6}, 
mean: 0.85464, std: 0.00616, params: {'subsample': 0.7, 'colsample_bytree': 0.6}, 
mean: 0.85488, std: 0.00733, params: {'subsample': 0.75, 'colsample_bytree': 0.6}, 
mean: 0.85310, std: 0.00766, params: {'subsample': 0.8, 'colsample_bytree': 0.6}, 
mean: 0.85571, std: 0.00472, params: {'subsample': 0.85, 'colsample_bytree': 0.6}, 
mean: 0.85441, std: 0.00596, params: {'subsample': 0.9, 'colsample_bytree': 0.6}, 
mean: 0.85667, std: 0.00614, params: {'subsample': 0.95, 'colsample_bytree': 0.6}, 
 mean: 0.85179, std: 0.00809, params: {'subsample': 0.6, 'colsample_bytree': 0.65},
 mean: 0.85250, std: 0.00769, params: {'subsample': 0.65, 'colsample_bytree': 0.65}, 
 mean: 0.85369, std: 0.00811, params: {'subsample': 0.7, 'colsample_bytree': 0.65},
 mean: 0.85286, std: 0.00696, params: {'subsample': 0.75, 'colsample_bytree': 0.65}, 
 mean: 0.85488, std: 0.00552, params: {'subsample': 0.8, 'colsample_bytree': 0.65}, 
 mean: 0.85583, std: 0.00543, params: {'subsample': 0.85, 'colsample_bytree': 0.65}, 
 mean: 0.85512, std: 0.00629, params: {'subsample': 0.9, 'colsample_bytree': 0.65}, 
 mean: 0.85429, std: 0.00854, params: {'subsample': 0.95, 'colsample_bytree': 0.65}, 
